Image: 20141012-B-_19-.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.106, visible_keypoints_count: 14)
Image: 20141012-B-_19-.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.106, visible_keypoints_count: 14)
Image: 20141012-B-_19-.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.106, visible_keypoints_count: 14)
Image: 20141012-B-_19-.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.106, visible_keypoints_count: 14)
Image: 20140304--_2-.jpg | Result: Long Shot (confidence: 0.95, area_ratio: 0.067, visible_keypoints_count: 15)
Image: 20141012-B-5-09-.jpg | Result: Long Shot (confidence: 0.95, area_ratio: 0.007, visible_keypoints_count: 15)
Image: 20141012-B-_19-.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.106, visible_keypoints_count: 14)
Image: 20141012-B-_19-.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.106, visible_keypoints_count: 14)
Image: 20141012-B-_19-.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.106, visible_keypoints_count: 14)
Image: 20141012-B--07-.jpg | Result: Long Shot (confidence: 0.95, area_ratio: 0.006, visible_keypoints_count: 17)
Image: 13-20141012--B_1--.jpg | Result: Long Shot (confidence: 0.95, area_ratio: 0.189, visible_keypoints_count: 17)
Image: 13-20141012--B_1--.jpg | Result: Long Shot (confidence: 0.95, area_ratio: 0.189, visible_keypoints_count: 17)
Image: 13-20141012--B_1--.jpg | Result: Long Shot (confidence: 0.95, area_ratio: 0.189, visible_keypoints_count: 17)
Image: 13-20141012--B_1--.jpg | Result: Long Shot (confidence: 0.95, area_ratio: 0.132, visible_keypoints_count: 17)
Image: 13-20141012--B_1--.jpg | Result: Long Shot (confidence: 0.95, area_ratio: 0.132, visible_keypoints_count: 17)
Image: 13-20141012--B_1--.jpg | Result: Long Shot (confidence: 0.95, area_ratio: 0.132, visible_keypoints_count: 17)
Image: 13-20141012--B_1--.jpg | Result: Long Shot (confidence: 0.95, area_ratio: 0.189, visible_keypoints_count: 17)
Image: 11-20141012--B_1--.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.109, visible_keypoints_count: 14)
Image: 26-20141012--B_1--.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.085, visible_keypoints_count: 17)
Image: 26-20141012--B_1--.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.085, visible_keypoints_count: 17)
Image: 26-20141012--B_1--.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.085, visible_keypoints_count: 17)
Image: 26-20141012--B_1--.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.085, visible_keypoints_count: 17)
Image: 26-20141012--B_1--.JPG | Result: Long Shot (confidence: 0.95, area_ratio: 0.085, visible_keypoints_count: 17)
